tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0055913,movie,1961,105,7.9,14330,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Divorce à l'italienne,fr
tt0055928,movie,1962,110,7.2,180798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,James Bond 007 contre docteur No,fr
tt0055972,movie,1962,123,7.3,6743,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Allo, brigade spéciale",fr
tt0055992,movie,1962,109,6.5,3034,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Le shérif de ces dames,fr
tt0055998,movie,1962,140,7.2,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Freud, passions secrètes",fr
tt0056023,movie,1962,106,5.6,3672,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Des filles, encore des filles",fr
tt0056048,movie,1962,143,7.1,7087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Gypsy,fr
tt0056058,movie,1962,133,8.6,70546,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Seppuku,fr
tt0056059,movie,1962,157,7.1,14429,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Hatari!,fr
tt0056062,movie,1962,90,6.9,7542,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,L'enfer est pour les héros,fr
tt0056085,movie,1962,164,7.1,23648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,La conquête de l'Ouest,fr
tt0056095,movie,1962,98,6.5,3480,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Les Enfants du capitaine Grant,fr
tt0056111,movie,1962,95,8,40337,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,L'enfance d'Ivan,fr
tt0056112,movie,1962,94,6.3,3080,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jack le tueur de géants,fr
tt0056141,movie,1962,112,7.3,2711,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Un amour pas comme les autres,fr
tt0056142,movie,1963,91,5.7,11396,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,King Kong contre Godzilla,fr
tt0056172,movie,1962,218,8.3,317551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Lawrence d'Arabie,fr
tt0056193,movie,1962,153,7.5,109721,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Lolita,fr
tt0056195,movie,1962,107,7.6,10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Seuls sont les indomptés,fr
tt0056196,movie,1962,174,7.5,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Long Day's Journey into Night,fr
tt0056197,movie,1962,178,7.7,60075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Le jour le plus long,fr
tt0056210,movie,1962,105,7.6,2997,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Mafioso,fr
tt0056211,movie,1962,80,4.8,2635,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,L'épée enchantée,fr
tt0056215,movie,1962,110,7.8,10583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mamma Roma,fr
tt0056217,movie,1962,123,8.1,83241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,L'homme qui tua Liberty Valance,fr
tt0056218,movie,1962,126,7.9,80511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Un crime dans la tête,fr
tt0056234,movie,1962,98,6.6,2834,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Les maraudeurs attaquent,fr
tt0056241,movie,1962,106,8.1,20716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Miracle en Alabama,fr
tt0056255,movie,1962,116,6.8,5980,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M. Hobbs prend des vacances,fr
tt0056262,movie,1962,151,7.7,19387,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Music Man,fr
tt0056264,movie,1962,178,7.2,18093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Les Révoltés du Bounty,fr
tt0056277,movie,1962,82,6.6,3658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Le fascinant Capitaine Clegg,fr
